subjID,A+,A-,K,BetaF,BetaP,A+-A-
old,0.324443747,0.068862319,1.502130085,2.523190987,-5.547480491,0.255581428
old,0.88574377,0.120145403,0.01259131,3.193243881,-9.159799514,0.765598367
old,0.318205015,0.078128221,1.927309486,0.6157081,9.272335577,0.240076794
old,0.728192211,0.106737054,0.388407429,2.595745643,-2.239554683,0.621455157
old,0.356228524,0.09198747,1.810674019,0.508604523,9.825699086,0.264241054
old,0.057908852,0.059390006,2.155363942,1.822531436,4.366173784,-0.001481154
old,0.598087434,0.17560897,0.016950729,4.023102273,-8.457064297,0.422478464
old,0.13385586,0.055651991,1.491424321,1.765225565,8.970680053,0.078203869
old,0.076468035,0.020484152,0.128038276,2.823966167,-4.777493395,0.055983883
old,0.131824617,0.03006271,1.644160457,1.478710686,10.90600312,0.101761907
old,0.397848164,0.246391925,1.232853291,1.781131576,8.826001154,0.151456239
old,0.215975213,0.066042163,1.713804739,0.155304392,9.698906101,0.14993305
old,0.503591108,0.077489397,1.895581196,1.691031771,6.595153572,0.426101711
old,0.329890015,0.066027536,0.366787321,2.681609246,-3.857593048,0.263862479
old,0.116831753,0.055026689,1.824176157,2.280706143,1.225735703,0.061805064
old,0.12931847,0.318412666,1.439758631,2.21315125,11.09296472,-0.189094196
old,0.356026648,0.114036055,1.688286759,0.91656179,10.1256697,0.241990593
old,0.136765338,0.050863732,2.135007443,0.137020339,9.179566476,0.085901606
old,0.660469314,0.14999073,1.849734854,2.050783015,-7.423701982,0.510478584
old,0.24835427,0.031486537,0.30883782,1.130033027,-2.313671713,0.216867733
old,0.073913929,0.032094582,0.095790372,0.891118414,-5.327544363,0.041819347
old,0.107101045,0.028243985,0.883384412,4.326545868,-11.68453611,0.07885706
old,0.350724626,0.100131431,0.308843084,4.00370015,-4.302101539,0.250593195
old,0.737109809,0.156512421,1.72476121,1.305980308,6.907575338,0.580597388
old,0.066283898,0.064223346,1.367343038,0.348946949,11.11516432,0.002060552
old,0.554442014,0.07174481,1.910877477,-0.763200047,10.08888015,0.482697204
old,0.526980928,0.037826339,0.339306792,1.321047876,-3.99136724,0.489154589
old,0.547541027,0.036460507,0.4008276,-0.702283611,-3.770503368,0.51108052
old,0.308715236,0.027146871,1.466017653,2.288590624,-1.120895222,0.281568365
old,0.457962481,0.112909117,1.121236863,1.27978028,10.57684726,0.345053364
old,0.318252498,0.053682686,1.217118482,2.098097237,4.210676588,0.264569812
old,0.685100435,0.118497403,0.764046067,1.233288222,-2.62947202,0.566603032
old,0.222504854,0.073155248,1.753886504,2.135040898,2.071093641,0.149349606
old,0.51891838,0.088974745,2.110821092,-0.359106662,8.077745349,0.429943635
old,0.537249869,0.077969086,0.974915981,1.32080802,-2.941637087,0.459280783
old,0.278789983,0.108970208,0.954595447,2.542786071,-1.306689718,0.169819775
old,0.701649117,0.128278287,0.886713955,2.941764339,0.44538628,0.57337083
old,0.416527392,0.11134182,1.587182198,2.559861381,-6.391252362,0.305185572
old,0.061554131,0.032898164,0.094301352,2.469572845,-6.830041486,0.028655967
old,0.506359033,0.033841128,1.770391596,0.495471458,9.583318517,0.472517905
old,0.424190824,0.045896519,1.612553469,-0.685238425,12.43787843,0.378294305
old,0.307838633,0.083291463,1.533005158,2.3131049,1.236781282,0.22454717
old,0.229935641,0.170867959,1.382754957,1.158026005,10.83345357,0.059067682
old,0.255095982,0.039986369,1.023307056,2.104079883,-16.50958292,0.215109613
old,0.239506448,0.088705871,1.460857225,1.188569689,-0.614403741,0.150800577
old,0.136617041,0.03434828,0.109204351,2.304304222,-9.471115573,0.102268761
old,0.193609153,0.190961396,0.546239577,1.874912852,2.284416538,0.002647757
old,0.265701289,0.063076399,1.865464286,1.493549991,-1.631286493,0.20262489
old,0.789918822,0.170198257,0.279727514,1.742957905,-3.315012574,0.619720565
old,0.593234334,0.156480925,0.282062192,3.911476867,-2.914969442,0.436753409
old,0.360103976,0.056591739,1.424798957,0.551218986,10.03951626,0.303512237
old,0.204980302,0.033172805,1.66636568,1.7145741,-1.159481241,0.171807497
old,0.085266926,0.181799031,0.842924391,1.68559574,10.78828535,-0.096532105
old,0.241585635,0.054678833,0.451638726,2.711766537,-5.060056711,0.186906802
old,0.242481201,0.055132452,0.458743386,2.695714506,-4.837145752,0.187348749
old,0.592533341,0.140874044,1.58403651,3.501311592,-11.32736891,0.451659297
old,0.824317982,0.113852093,0.167510964,2.306858866,-3.334322249,0.710465889
old,0.857802191,0.110718179,1.974083968,1.633964611,5.275642848,0.747084012
old,0.388527225,0.126581976,0.989225449,1.13467627,10.24117148,0.261945249
old,0.355066873,0.052763674,0.190844296,1.115480374,-10.8223575,0.302303199
old,0.154966517,0.035674749,1.856150662,1.572535022,9.945389581,0.119291768
old,0.516980653,0.139956289,1.290076027,2.502287876,7.936108574,0.377024364
old,0.223181981,0.027831287,0.809918565,1.880665726,-8.798740545,0.195350694
young,0.19395951,0.05805194,0.3165849,1.13565795,-1.546332,0.13590757
young,0.3003831,0.04728249,0.45574661,3.50480897,-3.4645012,0.25310061
young,0.19284584,0.03165994,0.47165804,1.63480088,-1.4626125,0.1611859
young,0.13214269,0.04426163,0.6717355,0.50178988,-0.331526,0.08788106
young,0.29109426,0.0811866,0.4765682,3.57475097,-5.0720229,0.20990766
young,0.20408318,0.06738598,0.40173969,1.77853479,-3.4710496,0.1366972
young,0.14534908,0.02590311,0.12755643,1.90233371,-4.0959705,0.11944597
young,0.08671831,0.03286907,0.30371637,1.23219502,-1.8278442,0.05384924
young,0.07385665,0.11345726,0.82766161,2.40119485,-0.779735,-0.03960061
young,0.10968832,0.08460018,0.90055371,2.61968921,-1.3137785,0.02508814
young,0.18051487,0.04411897,0.62089742,1.60463356,-1.2036587,0.1363959
young,0.20847286,0.04748984,0.91057078,-1.8833991,0.36458347,0.16098302
young,0.41926264,0.10289188,0.44228113,3.13158825,-3.5488486,0.31637076
young,0.10678062,0.084338,0.22552039,1.15966297,-1.7936063,0.02244262
young,0.12544736,0.04913275,1.07762964,0.3235675,3.72931036,0.07631461
young,0.15290849,0.17035211,0.83260598,2.32905745,0.44786407,-0.01744362
young,0.0980666,0.0543361,0.57577026,1.91602173,-0.5299804,0.0437305
young,0.33518144,0.04973809,0.23825575,0.9496235,-2.0385967,0.28544335
young,0.10490634,0.06818212,0.40473211,1.66520619,-2.1837759,0.03672422
young,0.17365537,0.04925208,0.64582027,0.37485653,-1.3383495,0.12440329
young,0.1069288,0.03985679,0.17938079,1.78425229,-3.6238962,0.06707201
young,0.32593459,0.03093416,0.82079473,0.30608084,3.80977963,0.29500043
young,0.3685196,0.1381882,0.59031301,1.72460063,-0.0316037,0.2303314
young,0.1481608,0.02725924,0.47590063,1.6943379,-6.9955874,0.12090156
young,0.18314868,0.04408963,0.45300888,0.11254028,-0.8328744,0.13905905
young,0.10533346,0.06313973,1.38153511,0.82020916,3.35155277,0.04219373
young,0.25707109,0.0992935,1.00041818,1.0805778,4.29691426,0.15777759
young,0.10872426,0.18167015,0.88169295,2.65920384,-1.1319334,-0.07294589
young,0.18917962,0.08644732,0.45310764,0.95580366,0.86686569,0.1027323
young,0.24486348,0.05156701,0.45551925,2.87854547,-4.5952475,0.19329647
young,0.20684044,0.02703759,0.31563756,2.03454175,-2.5085394,0.17980285
young,0.12952876,0.0413266,0.49361749,1.88014671,-1.0524497,0.08820216
young,0.20919196,0.10712417,0.78361704,1.51579375,3.62829151,0.10206779
young,0.11121104,0.11881096,0.66399653,0.99566492,2.49563446,-0.00759992
young,0.20625352,0.04470384,0.14893327,1.76898008,-2.9291758,0.16154968
young,0.25732967,0.17053956,0.80617582,2.21673203,2.44941271,0.08679011
young,0.14673365,0.09875848,0.44043168,2.53075978,-2.5005774,0.04797517
young,0.16196398,0.07231446,0.67017876,2.16641685,-0.6127074,0.08964952
young,0.16443298,0.05498954,0.37782909,1.74011344,-4.493102,0.10944344
young,0.08427716,0.02364402,0.29418911,0.91890926,-5.4330477,0.06063314
young,0.12495391,0.03766759,0.39781611,0.57113196,-6.774759,0.08728632
young,0.25432863,0.0580228,0.72773242,1.79334868,-1.3285986,0.19630583
young,0.04239637,0.04182923,0.58417181,0.95297538,-0.7278845,0.00056714
young,0.30096311,0.15649525,0.25216402,3.18241146,-2.9962192,0.14446786
young,0.14924135,0.14675704,0.92183254,1.42735478,2.64913544,0.00248431
young,0.1019323,0.07877563,0.78298037,4.5029684,-3.2916509,0.02315667
young,0.39221136,0.05564201,1.09836371,1.10895164,1.79283107,0.33656935
young,0.23807372,0.04591001,0.27557976,-0.9926518,-10.097334,0.19216371
young,0.24760113,0.04452704,0.3984032,0.38138939,-1.0118107,0.20307409
young,0.12019839,0.02881695,0.87387405,2.21813728,-3.5548582,0.09138144
young,0.21995078,0.1184684,0.60926946,1.37201695,6.08625686,0.10148238
young,0.18051824,0.05190163,0.29852592,2.43707961,-2.2533843,0.12861661
young,0.23902416,0.05062763,0.23197645,2.09600585,-2.7243785,0.18839653
young,0.27740769,0.02821125,0.16538225,0.18279459,-2.8725817,0.24919644
young,0.43768801,0.12523213,0.84750157,1.81517998,1.68433834,0.31245588
young,0.12075961,0.05511885,1.10878488,0.27839991,2.5188268,0.06564076
young,0.23823543,0.03118365,0.3795277,0.47177591,-1.8040753,0.20705178
young,0.20621562,0.07815216,0.84188533,1.10340786,0.44647917,0.12806346
young,0.14805971,0.04311055,0.41587361,0.79175162,-1.3511411,0.10494916
young,0.25497652,0.02193876,0.37608231,0.95290472,-1.4983705,0.23303776
young,0.17538369,0.16096049,0.85540175,1.26688429,5.63065666,0.0144232
young,0.28340891,0.08239011,0.49687657,3.74651408,-3.6194134,0.2010188
young,0.35032591,0.15849378,0.86596995,2.50361538,0.25029797,0.19183213
young,0.23220323,0.12822994,0.39400464,2.78991852,-2.7329671,0.10397329
young,0.11952227,0.08855985,0.4853894,1.3750705,2.06589983,0.03096242
young,0.30260942,0.03707816,1.16988181,-0.024874,1.88649479,0.26553126
young,0.11828941,0.16234598,0.85507689,1.52736965,4.91037558,-0.04405657
young,0.12999046,0.0355152,1.26991449,0.38655452,2.49711656,0.09447526
young,0.22488964,0.17872525,0.86337291,1.98825472,0.31382698,0.04616439
young,0.31493535,0.03821716,0.78831255,-0.1496156,-1.2378786,0.27671819
young,0.1164362,0.07482895,0.73773885,2.16207964,0.36792582,0.04160725
young,0.2612042,0.05100915,0.14340494,1.78589906,-2.7582504,0.21019505
young,0.31179077,0.02907382,1.13665013,0.96783745,3.60809596,0.28271695
young,0.33160746,0.20055421,0.96699136,3.12103203,-2.6301413,0.13105325
young,0.18332873,0.04294686,0.73582642,1.00622457,4.271519,0.14038187
young,0.1161157,0.05072888,1.16145165,0.69119908,4.69889532,0.06538682
young,0.1065204,0.0782525,0.27480642,1.44658056,-5.213945,0.0282679
young,0.08896035,0.09672926,0.31509707,2.14484463,1.769789,-0.00776891
young,0.30615834,0.06645901,0.68852449,1.87473753,-1.6084302,0.23969933
young,0.11982101,0.09127309,0.26226872,1.86143459,-2.1494444,0.02854792
young,0.2479491,0.03124992,1.1957518,-0.5045188,1.7274704,0.21669918
young,0.14789309,0.03007363,0.62383394,-0.2196758,-2.0893236,0.11781946
young,0.1330608,0.11311276,0.68232659,2.83696853,-0.2776024,0.01994804
young,0.40739378,0.1239591,0.58171544,2.23689684,-1.4007168,0.28343468
young,0.53930885,0.13241761,0.06958762,3.40232419,-3.8334254,0.40689124
young,0.25148374,0.12008757,0.2671916,1.8097134,-1.857809,0.13139617
young,0.07342343,0.04585931,1.12741523,1.12187058,2.03108973,0.02756412
young,0.24904706,0.07788411,0.91117747,1.9319485,0.96469717,0.17116295
young,0.10646177,0.07297343,0.45566419,3.29513081,-5.0225899,0.03348834
young,0.1220152,0.12280531,0.90777814,1.07770761,4.76540868,-0.00079011